intention_user,commande_a_executer
LANCER CHROME,ouvrir_chrome
OUVRIR CHROME,ouvrir_chrome
LANCE NAVIGATEUR,ouvrir_chrome
LANCER NAVIGATEUR,ouvrir_chrome
OUVRE NAVIGATEUR,ouvrir_chrome
OUVRE INTERNET,ouvrir_chrome
OUVRIR INTERNET,ouvrir_chrome
LANCE RECHERCHE,ouvrir_chrome
LANCER RECHERCHE,ouvrir_chrome
EFFECTUER RECHERCHE,ouvrir_chrome
EFFECTUE RECHERCHE,ouvrir_chrome
LANCE MUSIQUE,jouer_chanson
JOUER MUSIQUE,jouer_chanson
JOUE MUSIQUE,jouer_chanson
ECOUTER MUSIQUE,jouer_chanson
LANCER PLAYLIST,jouer_chanson
METTRE MUSIQUE,jouer_chanson
JOUE PLAYLIST,jouer_chanson
LANCE PLAYLIST,jouer_chanson
JOUER CHANSON,jouer_chanson
JOUE CHANSON,jouer_chanson
C EST QUOI CETTE MUSIQUE,identifier_chanson
C EST QUOI CE TITRE,identifier_chanson
C EST QUOI CETTE CHANSON,identifier_chanson
QUEL EST LE TITRE DE CETTE CHANSON,identifier_chanson
QUEL EST CE MORCEAU,identifier_chanson
IDENTIFIE CETTE MUSIQUE,identifier_chanson
IDENTIFIER CHANSON,identifier_chanson
RECONNAIS CETTE MUSIQUE,identifier_chanson
RECONNAITRE LA CHANSON,identifier_chanson
SHAZAM CETTE MUSIQUE,identifier_chanson
LANCE SHAZAM,identifier_chanson
LANCER SHAZAM,identifier_chanson
QUI CHANTE CETTE CHANSON,identifier_chanson
COMMENT S APPELLE CETTE CHANSON,identifier_chanson
J ECOUTE QUOI EN CE MOMENT,identifier_chanson
